doc_name,short_summary,question,answer
2.txt,"This is an application under article 32 of the Constitution of India for a writ of certiorari and prohibition The petitioner is the printer and publisher of an English weekly of Delhi called the Organizer, and the respondent is the Chief Commissioner of Delhi The order issued by the respondent, in exercise of powers conferred on him by section 7 (1) (c) of the East Punjab Public Safety Act, 1949, which has been extended to the Delhi Province, requires the petitioner to submit for scrutiny, in duplicate, all communal matter and news and views about Pakistan including photographs and cartoons other than those derived from official sources or supplied by the news agencies, viz., Press Trust of India, United Press of India and United Press of America to the Provincial Press Officer, or in his absence, to Superintend ent of Press Branch at his office at 5, Alipur Road, Civil Lines, Delhi, between the hours 10 a.m and 5 p.m on work ing days.","What is the meaning of ""Superintend ent of Press Branch""?",Superintend ent of Press Branch means the officer who is in-charge of the Press Branch.
2.txt,"This is an application under article 32 of the Constitution of India for a writ of certiorari and prohibition The petitioner is the printer and publisher of an English weekly of Delhi called the Organizer, and the respondent is the Chief Commissioner of Delhi The order issued by the respondent, in exercise of powers conferred on him by section 7 (1) (c) of the East Punjab Public Safety Act, 1949, which has been extended to the Delhi Province, requires the petitioner to submit for scrutiny, in duplicate, all communal matter and news and views about Pakistan including photographs and cartoons other than those derived from official sources or supplied by the news agencies, viz., Press Trust of India, United Press of India and United Press of America to the Provincial Press Officer, or in his absence, to Superintend ent of Press Branch at his office at 5, Alipur Road, Civil Lines, Delhi, between the hours 10 a.m and 5 p.m on work ing days.","What is the meaning of ""prohibition""?",The meaning of prohibition is the complete ban or prohibition of a certain activity.
2.txt,"This is an application under article 32 of the Constitution of India for a writ of certiorari and prohibition The petitioner is the printer and publisher of an English weekly of Delhi called the Organizer, and the respondent is the Chief Commissioner of Delhi The order issued by the respondent, in exercise of powers conferred on him by section 7 (1) (c) of the East Punjab Public Safety Act, 1949, which has been extended to the Delhi Province, requires the petitioner to submit for scrutiny, in duplicate, all communal matter and news and views about Pakistan including photographs and cartoons other than those derived from official sources or supplied by the news agencies, viz., Press Trust of India, United Press of India and United Press of America to the Provincial Press Officer, or in his absence, to Superintend ent of Press Branch at his office at 5, Alipur Road, Civil Lines, Delhi, between the hours 10 a.m and 5 p.m on work ing days.","What is the meaning of ""East Punjab Public Safety Act, 1949""?","The East Punjab Public Safety Act, 1949, which has been extended to the Delhi Province, requires the petitioner to submit for scrutiny, in duplicate, all communal matter and news and views about Pakistan including photographs and cartoons other than those derived from official sources or supplied by the news agencies, viz., Press Trust of India, United Press of India and United Press of America to the Provincial Press Officer, or in his absence, to Superintend ent of Press Branch at his office at 5, Alipur Road, Civil Lines, Delhi, between the hours 10 a.m and 5 p.m on work ing days."
2.txt,"This is an application under article 32 of the Constitution of India for a writ of certiorari and prohibition The petitioner is the printer and publisher of an English weekly of Delhi called the Organizer, and the respondent is the Chief Commissioner of Delhi The order issued by the respondent, in exercise of powers conferred on him by section 7 (1) (c) of the East Punjab Public Safety Act, 1949, which has been extended to the Delhi Province, requires the petitioner to submit for scrutiny, in duplicate, all communal matter and news and views about Pakistan including photographs and cartoons other than those derived from official sources or supplied by the news agencies, viz., Press Trust of India, United Press of India and United Press of America to the Provincial Press Officer, or in his absence, to Superintend ent of Press Branch at his office at 5, Alipur Road, Civil Lines, Delhi, between the hours 10 a.m and 5 p.m on work ing days.","What is the meaning of ""Alipur Road, Civil Lines, Delhi""?","Alipur Road, Civil Lines, Delhi is a street in the city of Delhi."
2.txt,"This is an application under article 32 of the Constitution of India for a writ of certiorari and prohibition The petitioner is the printer and publisher of an English weekly of Delhi called the Organizer, and the respondent is the Chief Commissioner of Delhi The order issued by the respondent, in exercise of powers conferred on him by section 7 (1) (c) of the East Punjab Public Safety Act, 1949, which has been extended to the Delhi Province, requires the petitioner to submit for scrutiny, in duplicate, all communal matter and news and views about Pakistan including photographs and cartoons other than those derived from official sources or supplied by the news agencies, viz., Press Trust of India, United Press of India and United Press of America to the Provincial Press Officer, or in his absence, to Superintend ent of Press Branch at his office at 5, Alipur Road, Civil Lines, Delhi, between the hours 10 a.m and 5 p.m on work ing days.","What is the meaning of ""Delhi Province""?","The Delhi Province is the administrative unit of the National Capital Territory of Delhi, India."
2.txt,"This is an application under article 32 of the Constitution of India for a writ of certiorari and prohibition The petitioner is the printer and publisher of an English weekly of Delhi called the Organizer, and the respondent is the Chief Commissioner of Delhi The order issued by the respondent, in exercise of powers conferred on him by section 7 (1) (c) of the East Punjab Public Safety Act, 1949, which has been extended to the Delhi Province, requires the petitioner to submit for scrutiny, in duplicate, all communal matter and news and views about Pakistan including photographs and cartoons other than those derived from official sources or supplied by the news agencies, viz., Press Trust of India, United Press of India and United Press of America to the Provincial Press Officer, or in his absence, to Superintend ent of Press Branch at his office at 5, Alipur Road, Civil Lines, Delhi, between the hours 10 a.m and 5 p.m on work ing days.","What is the meaning of ""certiorari""?","Certiorari means ""to prove the truth of the fact""."
2.txt,"The petitioner is a printer and publisher of an English weekly of Delhi called Organizer The Chief Commission er, Delhi, has directed the petitioner to submit for scrutiny, in duplicate, all communal matter and news and views about Pakistan including photographs and cartoons other than those derived from official sources or supplied by the news agencies The petitioner is to issue prohibition notices to the Chief Commissioner, Delhi, with a view to examine and review the legality of and ""restrain the operation"" of and ""quash"" the order made by him on the 2nd March, 1950, under the impugned section, directing them ""to submit for scrutiny, in duplicate, all communal matter and news and views about Pakistan including photographs and cartoons other than those derived from official sources or supplied by the news agencies.",What are the consequences of the petitioner's actions?,The petitioner's actions would result in the prohibition of all communal matter and news and views about Pakistan.
2.txt,"The petitioner is a printer and publisher of an English weekly of Delhi called Organizer The Chief Commission er, Delhi, has directed the petitioner to submit for scrutiny, in duplicate, all communal matter and news and views about Pakistan including photographs and cartoons other than those derived from official sources or supplied by the news agencies The petitioner is to issue prohibition notices to the Chief Commissioner, Delhi, with a view to examine and review the legality of and ""restrain the operation"" of and ""quash"" the order made by him on the 2nd March, 1950, under the impugned section, directing them ""to submit for scrutiny, in duplicate, all communal matter and news and views about Pakistan including photographs and cartoons other than those derived from official sources or supplied by the news agencies.",Is the petitioner entitled to publish news and views about Pakistan?,"Yes.
         The petitioner is entitled to publish news and views about Pakistan."
2.txt,Maintaining law and order in the province is the responsibility of the state legislature Public tranquillity and order are affected by anything that disturbs public tranquillity or security of the state Public safety is equivalent to security of the State.,What is the responsibility of the state legislature to maintain?,Maintaining law and order in the province is the responsibility of the state legislature.
2.txt,Maintaining law and order in the province is the responsibility of the state legislature Public tranquillity and order are affected by anything that disturbs public tranquillity or security of the state Public safety is equivalent to security of the State.,How does maintaining law and order affect public tranquillity and order?,Maintaining law and order in the province is the responsibility of the state legislature. Public tranquillity and order are affected by anything that disturbs public tranquillity or security of the state.
