doc_name,short_summary,question,answer
4.txt,"This case is about a weekly journal called Cross Roads printed and published in Bombay The Government of Madras, the respondents herein, in exer cise of their powers under section 9 (1 A) of the Madras Maintenance of Public Order Act, 1949 (hereinafter referred to as the impugned Act) purported to issue an order No MS 1333 dated 1st March, 1950, whereby they imposed a ban upon the entry and circulation of the journal in that State The order was published in the Fort St George Gazette and the notification ran as follows : ""In exercise of the powers conferred by section 9 (I A) of the Madras Maintenance of Public Order Act, 1949 (Madras Act XXIII of 1949) His Excellency the Governor of Madras, being satisfied that for the purpose of securing the public safety and the maintenance of public order, it is necessary so to do, hereby prohibits, with effect on and from the date of publication of this order in the Fort St George Gazette the entry into or the circulation, sale or distribution in the State of Madras or any part thereof of the newspaper entitled Cross Roads an English weekly published at Bombay.",What is the law in force in India?,"The law in force in India is the Madras Maintenance of Public Order Act, 1949 (Madras Act XXIII of 1949)."
4.txt,"This case is about a weekly journal called Cross Roads printed and published in Bombay The Government of Madras, the respondents herein, in exer cise of their powers under section 9 (1 A) of the Madras Maintenance of Public Order Act, 1949 (hereinafter referred to as the impugned Act) purported to issue an order No MS 1333 dated 1st March, 1950, whereby they imposed a ban upon the entry and circulation of the journal in that State The order was published in the Fort St George Gazette and the notification ran as follows : ""In exercise of the powers conferred by section 9 (I A) of the Madras Maintenance of Public Order Act, 1949 (Madras Act XXIII of 1949) His Excellency the Governor of Madras, being satisfied that for the purpose of securing the public safety and the maintenance of public order, it is necessary so to do, hereby prohibits, with effect on and from the date of publication of this order in the Fort St George Gazette the entry into or the circulation, sale or distribution in the State of Madras or any part thereof of the newspaper entitled Cross Roads an English weekly published at Bombay.",Who has power to issue such an order?,"The respondents, being satisfied that for the purpose of securing the public safety and the maintenance of public order, it is necessary so to do, hereby prohibit, with effect on and from the date of publication of this order in the Fort St George Gazette the entry into or the circulation, sale or distribution in the State of Madras or any part thereof of the newspaper entitled Cross Roads an English weekly published at Bombay."
4.txt,"This case is about a weekly journal called Cross Roads printed and published in Bombay The Government of Madras, the respondents herein, in exer cise of their powers under section 9 (1 A) of the Madras Maintenance of Public Order Act, 1949 (hereinafter referred to as the impugned Act) purported to issue an order No MS 1333 dated 1st March, 1950, whereby they imposed a ban upon the entry and circulation of the journal in that State The order was published in the Fort St George Gazette and the notification ran as follows : ""In exercise of the powers conferred by section 9 (I A) of the Madras Maintenance of Public Order Act, 1949 (Madras Act XXIII of 1949) His Excellency the Governor of Madras, being satisfied that for the purpose of securing the public safety and the maintenance of public order, it is necessary so to do, hereby prohibits, with effect on and from the date of publication of this order in the Fort St George Gazette the entry into or the circulation, sale or distribution in the State of Madras or any part thereof of the newspaper entitled Cross Roads an English weekly published at Bombay.",What is the meaning of the law?,The law is a set of rules that are designed to protect the public safety and maintain public order.
4.txt,"This case is about a weekly journal called Cross Roads printed and published in Bombay The Government of Madras, the respondents herein, in exer cise of their powers under section 9 (1 A) of the Madras Maintenance of Public Order Act, 1949 (hereinafter referred to as the impugned Act) purported to issue an order No MS 1333 dated 1st March, 1950, whereby they imposed a ban upon the entry and circulation of the journal in that State The order was published in the Fort St George Gazette and the notification ran as follows : ""In exercise of the powers conferred by section 9 (I A) of the Madras Maintenance of Public Order Act, 1949 (Madras Act XXIII of 1949) His Excellency the Governor of Madras, being satisfied that for the purpose of securing the public safety and the maintenance of public order, it is necessary so to do, hereby prohibits, with effect on and from the date of publication of this order in the Fort St George Gazette the entry into or the circulation, sale or distribution in the State of Madras or any part thereof of the newspaper entitled Cross Roads an English weekly published at Bombay.",What is the source of the power?,"The power is derived from section 9 (1 A) of the Madras Maintenance of Public Order Act, 1949 (Madras Act XXIII of 1949)."
4.txt,"This case is about a weekly journal called Cross Roads printed and published in Bombay The Government of Madras, the respondents herein, in exer cise of their powers under section 9 (1 A) of the Madras Maintenance of Public Order Act, 1949 (hereinafter referred to as the impugned Act) purported to issue an order No MS 1333 dated 1st March, 1950, whereby they imposed a ban upon the entry and circulation of the journal in that State The order was published in the Fort St George Gazette and the notification ran as follows : ""In exercise of the powers conferred by section 9 (I A) of the Madras Maintenance of Public Order Act, 1949 (Madras Act XXIII of 1949) His Excellency the Governor of Madras, being satisfied that for the purpose of securing the public safety and the maintenance of public order, it is necessary so to do, hereby prohibits, with effect on and from the date of publication of this order in the Fort St George Gazette the entry into or the circulation, sale or distribution in the State of Madras or any part thereof of the newspaper entitled Cross Roads an English weekly published at Bombay.",What is the procedure to challenge the order?,"The order can be challenged by way of an application to the High Court of Madras, within a period of 21 days from the date of publication of the order."
4.txt,"This case is about a weekly journal called Cross Roads printed and published in Bombay The Government of Madras, the respondents herein, in exer cise of their powers under section 9 (1 A) of the Madras Maintenance of Public Order Act, 1949 (hereinafter referred to as the impugned Act) purported to issue an order No MS 1333 dated 1st March, 1950, whereby they imposed a ban upon the entry and circulation of the journal in that State The order was published in the Fort St George Gazette and the notification ran as follows : ""In exercise of the powers conferred by section 9 (I A) of the Madras Maintenance of Public Order Act, 1949 (Madras Act XXIII of 1949) His Excellency the Governor of Madras, being satisfied that for the purpose of securing the public safety and the maintenance of public order, it is necessary so to do, hereby prohibits, with effect on and from the date of publication of this order in the Fort St George Gazette the entry into or the circulation, sale or distribution in the State of Madras or any part thereof of the newspaper entitled Cross Roads an English weekly published at Bombay.",What is the legal effect of the order?,The order has the legal effect of a ban upon the entry and circulation of the journal in the State of Madras.
4.txt,"This case is about a weekly journal called Cross Roads printed and published in Bombay The Government of Madras, the respondents herein, in exer cise of their powers under section 9 (1 A) of the Madras Maintenance of Public Order Act, 1949 (hereinafter referred to as the impugned Act) purported to issue an order No MS 1333 dated 1st March, 1950, whereby they imposed a ban upon the entry and circulation of the journal in that State The order was published in the Fort St George Gazette and the notification ran as follows : ""In exercise of the powers conferred by section 9 (I A) of the Madras Maintenance of Public Order Act, 1949 (Madras Act XXIII of 1949) His Excellency the Governor of Madras, being satisfied that for the purpose of securing the public safety and the maintenance of public order, it is necessary so to do, hereby prohibits, with effect on and from the date of publication of this order in the Fort St George Gazette the entry into or the circulation, sale or distribution in the State of Madras or any part thereof of the newspaper entitled Cross Roads an English weekly published at Bombay.",What are the consequences of the order?,The order has the effect of banning the entry and circulation of the journal in the State of Madras.
4.txt,"The Public Safety Act, 1875, which was enacted to secure public safety, does not include the securing of public health as one of its objectives However, the Act may be taken to relate to matters affecting the security of the State rather than trivial offences like rash driving The Government of India Act, 1935, nowhere used the expression ""security of the State"" though it made provision under section 57 for dealing with crimes of violence intended to overthrow the Government.","What is the meaning of the expression ""security of the state"" in the Government of India Act, 1935?","The expression ""security of the state"" in the Government of India Act, 1935, means the protection of the State from external aggression and internal disturbances."
4.txt,"The Public Safety Act, 1875, which was enacted to secure public safety, does not include the securing of public health as one of its objectives However, the Act may be taken to relate to matters affecting the security of the State rather than trivial offences like rash driving The Government of India Act, 1935, nowhere used the expression ""security of the State"" though it made provision under section 57 for dealing with crimes of violence intended to overthrow the Government.","Is it correct to say that the expression ""security of the state"" is not used in the Public Safety Act, 1875?",No.
4.txt,"The Public Safety Act, 1875, which was enacted to secure public safety, does not include the securing of public health as one of its objectives However, the Act may be taken to relate to matters affecting the security of the State rather than trivial offences like rash driving The Government of India Act, 1935, nowhere used the expression ""security of the State"" though it made provision under section 57 for dealing with crimes of violence intended to overthrow the Government.","What is the meaning of the expression ""security of the state"" in the Public Safety Act, 1875?","The expression ""security of the state"" in the Public Safety Act, 1875, means the protection of the State from external and internal dangers."
4.txt,"The Public Safety Act, 1875, which was enacted to secure public safety, does not include the securing of public health as one of its objectives However, the Act may be taken to relate to matters affecting the security of the State rather than trivial offences like rash driving The Government of India Act, 1935, nowhere used the expression ""security of the State"" though it made provision under section 57 for dealing with crimes of violence intended to overthrow the Government.","Is the expression ""security of the state"" used in the Government of India Act, 1935?",No
4.txt,"The Public Safety Act, 1875, which was enacted to secure public safety, does not include the securing of public health as one of its objectives However, the Act may be taken to relate to matters affecting the security of the State rather than trivial offences like rash driving The Government of India Act, 1935, nowhere used the expression ""security of the State"" though it made provision under section 57 for dealing with crimes of violence intended to overthrow the Government.","Is the expression ""security of the state"" used in the Public Safety Act, 1875?",No
4.txt,"The word ""sedition"" was deleted from article 13 (2) of the Draft Constitution prepared by the Drafting Committee In this connection it may be recalled that the Federal Court had, in defining sedition in Niharendu Dutt Majumdar vs The King Emperor (1), held that ""the acts or words complained of must either incite to disorder or must be such as to satisfy reasonable men that that is their intention or tendency"", but the Privy Council overruled that decision and emphatically reaffirmed the view expressed in Tilaks case (1) to the effect that ""the offence ""consisted in exciting or attempting to excite in others certain bad feelings towards the Government and not in exciting or attempting to excite mutiny or rebellion, or any sort of actual disturbance, great or small."".The deletion of the word ""sedition"" from article 13 (2) of the Draft Constitution shows that criticism of Government exciting disaffection or bad feel ings towards it is not to be regarded as a justifying ground for restricting the freedom of expression and of the press, unless it is such as to undermine the security of or tend to overthrow the State.","What is the meaning of ""sedition"" as per article 13 (2) of the Draft Constitution?","The word ""sedition"" was deleted from article 13 (2) of the Draft Constitution prepared by the Drafting Committee."
4.txt,"The word ""sedition"" was deleted from article 13 (2) of the Draft Constitution prepared by the Drafting Committee In this connection it may be recalled that the Federal Court had, in defining sedition in Niharendu Dutt Majumdar vs The King Emperor (1), held that ""the acts or words complained of must either incite to disorder or must be such as to satisfy reasonable men that that is their intention or tendency"", but the Privy Council overruled that decision and emphatically reaffirmed the view expressed in Tilaks case (1) to the effect that ""the offence ""consisted in exciting or attempting to excite in others certain bad feelings towards the Government and not in exciting or attempting to excite mutiny or rebellion, or any sort of actual disturbance, great or small."".The deletion of the word ""sedition"" from article 13 (2) of the Draft Constitution shows that criticism of Government exciting disaffection or bad feel ings towards it is not to be regarded as a justifying ground for restricting the freedom of expression and of the press, unless it is such as to undermine the security of or tend to overthrow the State.",What was the decision of the Federal Court in Niharendu Dutt Majumdar vs The King Emperor?,"The Federal Court had, in defining sedition in Niharendu Dutt Majumdar vs The King Emperor (1), held that ""the acts or words complained of must either incite to disorder or must be such as to satisfy reasonable men that that is their intention or tendency"", but the Privy Council overruled that decision and emphatically reaffirmed the view expressed in Tilaks case (1) to the effect that ""the offence ""consisted in exciting or attempting to excite in others certain bad feelings towards the Government and not in exciting or attempting to excite mutiny or rebellion, or any sort of actual"
4.txt,"The word ""sedition"" was deleted from article 13 (2) of the Draft Constitution prepared by the Drafting Committee In this connection it may be recalled that the Federal Court had, in defining sedition in Niharendu Dutt Majumdar vs The King Emperor (1), held that ""the acts or words complained of must either incite to disorder or must be such as to satisfy reasonable men that that is their intention or tendency"", but the Privy Council overruled that decision and emphatically reaffirmed the view expressed in Tilaks case (1) to the effect that ""the offence ""consisted in exciting or attempting to excite in others certain bad feelings towards the Government and not in exciting or attempting to excite mutiny or rebellion, or any sort of actual disturbance, great or small."".The deletion of the word ""sedition"" from article 13 (2) of the Draft Constitution shows that criticism of Government exciting disaffection or bad feel ings towards it is not to be regarded as a justifying ground for restricting the freedom of expression and of the press, unless it is such as to undermine the security of or tend to overthrow the State.",What was the Privy Council's view in Tilaks case?,"The offence ""consisted in exciting or attempting to excite in others certain bad feelings towards the Government and not in exciting or attempting to excite mutiny or rebellion, or any sort of actual disturbance, great or small."""
