doc_name,short_summary,question,answer
5.txt,"The context is a civil appeal filed by Bakshi Tek Chand and others against the judgment and decree dated 12th October, 1944, of the High Court of Judicature at Allahabad (Allsop and Malik JJ.) in First Appeal No 374 of 1941 arising out of a Decree dated 31st July, 1941, of the Court of the Civil Judge, Moradabad, in Original Suit No 9 of 1941 The appeal was filed on the basis that the defendants were in possession of the disputed property at all material times and that on 480 Shanker Lal s death in 1884 his daughter Mst Mohan Dei (the plaintiffs  grandmother) succeeded to a limited estate The reversion opened out on her death in October 1929 and the plaintiffs are entitled as the next reversioners, for Mst Mohan Dei s son Shri Kishan Das predeceased her The defendants claim that the plaintiffs are bound by this award and are in any event estopped The plaintiffs lost in the first Court but won in the High Court The defendants appeal The first question is about the nature of the award The defendants say that it gave Mst.",What is the position of the plaintiffs?,The plaintiffs are entitled to the reversion.
5.txt,"The context is a civil appeal filed by Bakshi Tek Chand and others against the judgment and decree dated 12th October, 1944, of the High Court of Judicature at Allahabad (Allsop and Malik JJ.) in First Appeal No 374 of 1941 arising out of a Decree dated 31st July, 1941, of the Court of the Civil Judge, Moradabad, in Original Suit No 9 of 1941 The appeal was filed on the basis that the defendants were in possession of the disputed property at all material times and that on 480 Shanker Lal s death in 1884 his daughter Mst Mohan Dei (the plaintiffs  grandmother) succeeded to a limited estate The reversion opened out on her death in October 1929 and the plaintiffs are entitled as the next reversioners, for Mst Mohan Dei s son Shri Kishan Das predeceased her The defendants claim that the plaintiffs are bound by this award and are in any event estopped The plaintiffs lost in the first Court but won in the High Court The defendants appeal The first question is about the nature of the award The defendants say that it gave Mst.",What is the effect of the first question?,The first question is about the nature of the award.
5.txt,"The context is a civil appeal filed by Bakshi Tek Chand and others against the judgment and decree dated 12th October, 1944, of the High Court of Judicature at Allahabad (Allsop and Malik JJ.) in First Appeal No 374 of 1941 arising out of a Decree dated 31st July, 1941, of the Court of the Civil Judge, Moradabad, in Original Suit No 9 of 1941 The appeal was filed on the basis that the defendants were in possession of the disputed property at all material times and that on 480 Shanker Lal s death in 1884 his daughter Mst Mohan Dei (the plaintiffs  grandmother) succeeded to a limited estate The reversion opened out on her death in October 1929 and the plaintiffs are entitled as the next reversioners, for Mst Mohan Dei s son Shri Kishan Das predeceased her The defendants claim that the plaintiffs are bound by this award and are in any event estopped The plaintiffs lost in the first Court but won in the High Court The defendants appeal The first question is about the nature of the award The defendants say that it gave Mst.",What is the effect of the award?,The effect of the award is that the plaintiffs are entitled to the disputed property at all material times.
5.txt,"The context is a civil appeal filed by Bakshi Tek Chand and others against the judgment and decree dated 12th October, 1944, of the High Court of Judicature at Allahabad (Allsop and Malik JJ.) in First Appeal No 374 of 1941 arising out of a Decree dated 31st July, 1941, of the Court of the Civil Judge, Moradabad, in Original Suit No 9 of 1941 The appeal was filed on the basis that the defendants were in possession of the disputed property at all material times and that on 480 Shanker Lal s death in 1884 his daughter Mst Mohan Dei (the plaintiffs  grandmother) succeeded to a limited estate The reversion opened out on her death in October 1929 and the plaintiffs are entitled as the next reversioners, for Mst Mohan Dei s son Shri Kishan Das predeceased her The defendants claim that the plaintiffs are bound by this award and are in any event estopped The plaintiffs lost in the first Court but won in the High Court The defendants appeal The first question is about the nature of the award The defendants say that it gave Mst.",What is the nature of the award?,
5.txt,"The context is a civil appeal filed by Bakshi Tek Chand and others against the judgment and decree dated 12th October, 1944, of the High Court of Judicature at Allahabad (Allsop and Malik JJ.) in First Appeal No 374 of 1941 arising out of a Decree dated 31st July, 1941, of the Court of the Civil Judge, Moradabad, in Original Suit No 9 of 1941 The appeal was filed on the basis that the defendants were in possession of the disputed property at all material times and that on 480 Shanker Lal s death in 1884 his daughter Mst Mohan Dei (the plaintiffs  grandmother) succeeded to a limited estate The reversion opened out on her death in October 1929 and the plaintiffs are entitled as the next reversioners, for Mst Mohan Dei s son Shri Kishan Das predeceased her The defendants claim that the plaintiffs are bound by this award and are in any event estopped The plaintiffs lost in the first Court but won in the High Court The defendants appeal The first question is about the nature of the award The defendants say that it gave Mst.",What is the position of the defendants?,The defendants say that it gave Mst. Mohan Dei. (the plaintiffs grandmother) a limited estate.
5.txt,"The context is a legal case where the parties are Brijlal, Shanker Lal, Kishan Lal, and Mohan Dei Brijlal claimed to have an interest in the property in question, which was owned by Shanker Lal and Kishan Lal He claimed that he was joint with Shanker Lal and so, on Shanker Lal s death, he became entitled to the property However, Kishan Lal did not claim through him but had an independent title as reversioner to Shanker Lal It was also claimed that if Kishan Lal was not bound, the plaintiffs would not be either.",What is the legal effect of a last will?,"A last will has the effect of a contract.
         The contract is that the testator transfers all his rights to another.
         The transferee becomes the owner.
         The rights that are transferred are those that the testator had at the time of writing the will.
         For example, if the testator had no property at the time of writing the will, the will would not transfer ownership of any property.
         If the test"
5.txt,"The context is a legal case where the parties are Brijlal, Shanker Lal, Kishan Lal, and Mohan Dei Brijlal claimed to have an interest in the property in question, which was owned by Shanker Lal and Kishan Lal He claimed that he was joint with Shanker Lal and so, on Shanker Lal s death, he became entitled to the property However, Kishan Lal did not claim through him but had an independent title as reversioner to Shanker Lal It was also claimed that if Kishan Lal was not bound, the plaintiffs would not be either.",What is the legal effect of a last will that is not valid?,The last will is not valid.
5.txt,"The context is a legal case where the parties are Brijlal, Shanker Lal, Kishan Lal, and Mohan Dei Brijlal claimed to have an interest in the property in question, which was owned by Shanker Lal and Kishan Lal He claimed that he was joint with Shanker Lal and so, on Shanker Lal s death, he became entitled to the property However, Kishan Lal did not claim through him but had an independent title as reversioner to Shanker Lal It was also claimed that if Kishan Lal was not bound, the plaintiffs would not be either.",What is the legal effect of a last will that is not signed by the testator?,The legal effect of a last will that is not signed by the testator is that the will is deemed to be signed by the testator.
5.txt,"The context is a legal case where the parties are Brijlal, Shanker Lal, Kishan Lal, and Mohan Dei Brijlal claimed to have an interest in the property in question, which was owned by Shanker Lal and Kishan Lal He claimed that he was joint with Shanker Lal and so, on Shanker Lal s death, he became entitled to the property However, Kishan Lal did not claim through him but had an independent title as reversioner to Shanker Lal It was also claimed that if Kishan Lal was not bound, the plaintiffs would not be either.",What is the legal effect of a last will that is not probated?,The legal effect of a last will that is not probated is that the testator has died intestate.
5.txt,"The context is a legal case where the parties are Brijlal, Shanker Lal, Kishan Lal, and Mohan Dei Brijlal claimed to have an interest in the property in question, which was owned by Shanker Lal and Kishan Lal He claimed that he was joint with Shanker Lal and so, on Shanker Lal s death, he became entitled to the property However, Kishan Lal did not claim through him but had an independent title as reversioner to Shanker Lal It was also claimed that if Kishan Lal was not bound, the plaintiffs would not be either.",What is the legal effect of a last will that is not in writing?,A last will that is not in writing is not recognized as a valid will under Indian law.
5.txt,"The context is a legal case where the parties are Brijlal, Shanker Lal, Kishan Lal, and Mohan Dei Brijlal claimed to have an interest in the property in question, which was owned by Shanker Lal and Kishan Lal He claimed that he was joint with Shanker Lal and so, on Shanker Lal s death, he became entitled to the property However, Kishan Lal did not claim through him but had an independent title as reversioner to Shanker Lal It was also claimed that if Kishan Lal was not bound, the plaintiffs would not be either.",What is the legal effect of a last will that is not signed by the testator and is not witnessed by more than two people?,"The legal effect of a last will that is not signed by the testator and is not witnessed by more than two people is that the testator is deemed to have signed it.
         The testator is deemed to have signed it because the law assumes that if the testator does not sign the will, they did not intend to leave the property to anyone."
